Designator,Mid X,Mid Y,Rotation,Layer
BT1,145.0,-48.0,0.0,bottom
C1,148.405,-35.505,225.0,top
C10,149.2,-32.8,180.0,top
C11,131.74,-43.0,90.0,top
C12,128.49,-43.25,90.0,top
C13,130.0,-43.225,90.0,top
C14,136.5,-48.475,90.0,top
C15,138.315,-48.53,90.0,top
C16,168.0,-96.0,90.0,top
C17,182.415,-102.3,0.0,top
C18,182.413163,-105.257909,0.0,top
C19,178.51,-83.35,0.0,top
C2,149.605,-37.105,315.0,top
C20,182.415,-103.8,0.0,top
C21,104.1,-86.0625,270.0,top
C22,105.7,-86.0625,270.0,top
C23,109.98,-90.8625,0.0,top
C24,106.42,-90.8625,180.0,top
C25,165.45,-80.1,0.0,top
C26,145.0,-80.2,0.0,top
C27,124.5,-80.15,0.0,top
C28,184.85,-50.0,270.0,top
C29,183.25,-50.0,270.0,top
C3,145.605,-47.105,315.0,top
C30,144.805,-42.905,315.0,top
C31,143.805,-44.105,135.0,top
C4,147.005,-45.505,315.0,top
C5,148.75,-28.36,0.0,top
C6,140.805,-37.155,90.0,top
C7,148.95,-30.2,0.0,top
C8,148.75,-26.61,0.0,top
C9,142.805,-45.305,315.0,top
D1,146.43,-31.01,180.0,top
D2,155.2025,-25.815,180.0,top
D3,155.27,-28.0,180.0,top
FB1,107.3,-88.4625,270.0,top
FB2,109.1,-88.4625,90.0,top
J1,145.5,-48.0,0.0,top
J10,175.49,-102.55,270.0,top
J12,172.99,-129.25,270.0,top
J13,174.24,-136.35,270.0,top
J14,175.49,-132.8,270.0,top
J15,176.74,-129.25,270.0,top
J16,157.69,-123.0,270.0,top
J18,161.24,-120.45,270.0,top
J19,154.14,-121.7,270.0,top
J2,145.0,-20.0,180.0,top
J3,153.425,-103.75,270.0,top
J4,181.46,-86.0,90.0,top
J5,145.0,-111.3,90.0,top
J6,110.25,-40.0,0.0,top
J7,181.84,-132.8,270.0,top
J8,180.59,-129.25,270.0,top
J9,110.27,-35.0,90.0,top
L1,147.905,-40.605,225.0,top
L2,130.0,-47.75,270.0,top
LS1,108.5,-96.8125,0.0,top
Q1,181.86,-90.6,0.0,top
Q2,176.9225,-90.55,0.0,top
Q3,170.55,-50.2375,270.0,top
Q4,168.5,-58.0,270.0,top
R1,140.675,-27.86,0.0,top
R10,138.605,-35.48,90.0,top
R11,182.06,-95.2,0.0,top
R12,179.06,-95.2,180.0,top
R13,168.975,-43.3,0.0,top
R14,180.04,-104.425,90.0,top
R15,157.3,-101.2,270.0,top
R16,148.935,-104.55,0.0,top
R17,149.66,-107.075,90.0,top
R18,165.5,-102.75,180.0,top
R19,165.5,-104.4,0.0,top
R2,143.15,-28.45,270.0,top
R20,108.5,-80.6625,0.0,top
R21,168.15,-39.275,90.0,top
R22,167.15,-53.1,0.0,top
R23,170.525,-53.1,0.0,top
R24,167.75,-60.7,0.0,top
R25,170.95,-60.7,180.0,top
R26,166.64,-127.65,270.0,top
R3,146.25,-27.435,90.0,top
R4,132.5,-52.0,180.0,top
R5,171.2,-102.875,270.0,top
R6,169.6,-102.875,270.0,top
R7,156.615,-32.215,270.0,top
R8,151.06,-36.55,135.0,top
R9,138.605,-38.705,90.0,top
SW1,124.5,-86.0,90.0,top
SW2,145.0,-86.0,90.0,top
SW3,165.5,-86.0,90.0,top
SW4,172.0,-96.0,90.0,top
SW5,162.0,-96.0,270.0,top
TH1,145.0,-48.0,180.0,bottom
U1,177.85,-116.0,270.0,top
U2,144.36,-36.25,0.0,top
U3,134.25,-48.0,180.0,top
U4,108.65,-84.1875,270.0,top
